"There is an increased risk of trespass and vandalism at Brighton Station. This is due to vulnerable people, fare evaders and youth Anti social behaviour. WHAT3WORDS/// NOSES.OWNER.BLAST",110188198
"Pedestrian access via the station main entrance through a steep 4 tiered set of steps. Access to track is through the ramp ends of the platforms. ~W3W: ///shine.pokers.bids~Stairs are Steep and manual handling is restricted to light weight tools only. Heavy equipment must NOT be carried up and down their stairs. ~Always hold the hand rail when traveling the stair case.",110188200
"Pedestrian access via the station main entrance through a steep 4 tiered set of steps. Access to track is through the ramp ends of the platforms. ~W3W: /grape.paying.pans~Stairs are Steep and manual handling is restricted to light weight tools only. Heavy equipment must NOT be carried up and down their stairs. ~Always hold the hand rail when traveling the stair case.",110188201
"Access to track via Selhurst Train Depot. ~Location of Access gate for Vehicle W3W: ///limp.first.powers~Location of Walk way for access to track is W3W: ///either.backup.radar~The track access walk way is comprised of GRP staging and 15 wooden steps onto another GRP staging both crossing the sidings. ~Engagement with the sidings owners should always be sourced before use. ~ELRs = VTB1, WCS & NFE.",110188202
"WALKING AND WARNING SSOW WORKING WITH WARNING BY LOOKOUTS PROHIBITED, INSUFFICIENT SIGHTING DISTANCE. CAN ONLY BE UNDERTAKEN WHEN THE UP FAST IS UNDER PROTECTION OF A T12/T2 TO PROVIDE A PLACE OF SAFETY WHILST THE DOWN FAST IS BEING PATROLLED. A MINIMUM OF TWO LOOKOUTS REQUIRED. WARNING SSOW WORKING PROHIBITED. NO PLACE OF SAFETY ON ALL LINES. BRS = 4070",70314564
"Risk Rating 2, Hazard Rating 2,Score 4 Endangered species have been found under the road crossing.Caution should be excercised when working in this area",70260060
"Three Arches Bridge, Access via Three Arches Road, Access to track via gate and steps up to track level. What3Words - radar.mugs.echo",110149533
"Hampden Park Station Approach. Access via Mallard Close.. What3Words - saints.social.easy",110149528
"Access to TP Hut is via Hurstlands & Pollards Oak Rd. WHAT3WORDS /// RAMP.ADOPT.BROAD.",110147223
"Address:At Easting:539184 Northing:144950:RH76DD Details: Access to TP Hut is via Haxted Road",110147217
"Address:At Easting:529101 Northing:154099:RH13BL Details: Access to Substation is via London Rd North",110147220
"ACCESS THROUGH STATION. RISK RATING 3, HAZARD RATING 2, SCORE 6. WHAT3WORDS: LIMP.BORING.TRICKS. PLUS CODE: 9C3X9R4H+XH.",110182413
"ACCESS THROUGH STATION. RISK RATING 3, HAZARD RATING 2, SCORE 6. WHAT3WORDS: DIMES.GARDEN.TEND. PLUS CODE: 9C3X9R5H+32.",110182414
"ACCESS THROUGH STATION, RISK RATING 3, HAZARD RATING 2, SCORE 6. WHAT3WORDS: FACE.CLOAK.WASP. PLUS CODE: 9C3X8QF6+GF.",110182415
"Public Footpath Crossing with Whistleboards at 21m18ch on the Up/Down Brighton line ~Coordinates~Latitude: 50.830 / 50°49""50""N. Mapcode National: GBR FJB.TWF. Longitude: -0.6139 / 0°36""49""W. Mapcode Global: FRA 96LW.YG. OS Eastings: 497714. Pluscode: 9C2XR9JP+8F. OS Northings: 104388. What3Words: umbrella.castle.poets. OS Grid: SU977043.",110180391
"Telham Hill Bridge 122 @ 56m 42ch, then path to site",110179574
"Off Mountfield Gypsum Mine, Private Road, off London Road near Battle",110179575
"no parking available at this site due to employees receiving abuse in recent visits.",110181499
"Additional Entry - Platform EndWhat3Words - guises.final.wasp",110180392
"Badger sett presence within the area ",110187792
"Badger sett presence within the area ",110187793
"Badger sett presence within the area ",110187794
"Badger sett presence within the area ",110187795
"Badger sett presence within the area ",110187796
"Badger sett presence within the area ",110187797
"Badger sett presence within the area ",110187798
"~Badger sett presence within the area ",110187799
"All staff working on behalf of NR must make themselves known to staff, located either in the main office or the weighbridge operator and then sign in on tablet in main office and sign out when leaving. Access via the xing in front of outgoing weighbridge.",110165107
"NR vehicles parking on farmers land. Parking available only on request from farmer. Pls call Josh Berry 07977279869.",110166506
"WALKING AND WARNING SSOW WORKING PROHIBITED. NO PLACE OF SAFETY.",110161668
"WALKING AND WARNING SSOW WORKING PROHIBITED. NO PLACE OF SAFETY.",110161669
"WALKING AND WARNING SSOW WORKING PROHIBITED. NO PLACE OF SAFETY.",110161670
"WALKING AND WARNING SSOW WORKING PROHIBITED. NO PLACE OF SAFETY.",110161671
"WALKING AND WARNING SSOW WORKING PROHIBITED. NO PLACE OF SAFETY.",110161672
"WALKING AND WARNING SSOW WORKING PROHIBITED. NO PLACE OF SAFETY.",110161673
"no parking available at this site due to employees receiving abuse in recent visits.",110181667
"Pedestrian access point oprn for use after complete renewal of access steps",110165446
"Giant Hogweed. Close to culvert 974 but not impacting on type of pesticide used, small bit by Church Crossing. Extended 2018 to 39m25c-31c Vice 27c-31c.",110178650
"Giant Hogweed. Added May 2018, Found by Med Patrollers, check by ML",110178651
"Giant Hogweed. Added May 2018, Found by Med Patrollers, check by ML",110178652
"Giant Hogweed. Watercourse on site culvert 972. Increased to 56c vice 55c",110178653
"Giant Hogweed. Found May 2018.",110178654
"Giant Hogweed. Several plants within mileages",110178655
"Giant Hogweed. Found May 2018.",110178656
"Giant Hogweed. Plants beside Teston Sub Stn",110178657
"Giant Hogweed. New site found in 2017",110178658
"Giant Hogweed. Several plants within mileages, None found on latest inspection",110178659
"Giant Hogweed. Several plants within mileages",110178660
"Giant Hogweed. New site found in 2017",110178661
"Giant Hogweed. New site found in 2017",110178662
"Giant Hogweed. New site found in 2017, 2018 - extended by 3 chain",110178663
"Giant Hogweed. New site found in 2018 by Florin",110178664
"Giant Hogweed. Several plants within mileages, plants found on Down at 43m09c 24/04/2018 by MV",110178665
