"Drainage covers in 6-foot on Slabtrack have deteriorated~and broken in sections resulting in a fall hazard. What could have happened: Injury to staff trough slip, trip, fall into exposed drainage run. Addition risk posed by exposed metal edges where grill has broken.~Actions Taken: Unable to fix on site. Drainage covers require replacement.",10590872
"https://what3words.com/flattered.static.passes Installation of new pedestrian access point at west end of Inverness Airport Station Platform 1. Carriage key required to unlock access point gates. Cables lying on ground at bottom of steps ",10591213
"WARNING SSOW WORKING PROHIBITED WITHIN LIMITS OF NEW INVERNESS AIRPORT STATION.",10591272
"Authorised Access Point - Road Rail Machines Culloden Sidings - Old Station Yard",10591792
"THE SUITABILITY OF THE EDGE PROTECTION ON THIS STRUCTURE CANNOT BE RELIED UPON TO PREVENT A FALL FROM HEIGHT. UNASSISTED WARNING SSOW WORKING IS PROHIBITED, ATWS/LOWS MAY BE USED ONLY IF THE STRUCTURE IS LESS THAN 30 METRES LONG AND A MINIMUM 25 SECOND WARNING TIME IS BEING USED. ONLY ACTIVITIES THAT CAN BE CARRIED OUT WHILST REMAINING WITHIN THE 4 FOOT ARE ALLOWED TO BE UNDERTAKEN ON THIS STRUCTURE, UNLESS SUITABLE CONTROL MEASURES TO PREVENT FALLS FROM HEIGHT ARE APPROVED AND RECORDED BY AN ENGINEER AND IMPLEMENTED ON SITE.",10567878
"Access via Longannet Power Station main entrance and along main power station roadway to gate in perimeter fence leading to dust pipe roadway, thence pathway to signalbox, crossing the running line. Signalbox is located on right hand side",10407931
"1000 yards from Newbridge roundabout on the Newbridge/Wilkieston side on UB14 . Gate entrance to relay room on left hand side. Continue on pathway through gate for 300 yards. Reaching top of incline turn to the left. Proceed along pathway which runs parallel to Bathgate lines for 300 yards. Relay room directly ahead, main door entrance facing Glasgow main lines.",10407934
"From Winchburgh Village, turn off B9080 at village school onto B8020. Proceed for half mile up to UB1. Gate on left hand side for entrance to railway. Proceed to next gate , then proceed for half mile along path beside Dalmeny/Winchburgh branch line towards Winchburgh Junction. Relay room building straight ahead between Glasgow main line and Dalmeny branch line.",10407936
"Exclusion zone set up around raw sewage which is seeping through the cess area",10574227
"2 SEWERS IN KEPTIE STREET C/P #7.50~ ~ ~ Node=N020",10400395
"FIBRE OPTIC CABLE THROUGH OVERBRIDGE 222~ ~ ~ Node=N019",10400397
"3 INCH WATER MAIN~ ~ ~ Node=N019",10400400
"2 PIPES AT BRIDGE NO 225~ ~ ~ Node=N019",10400401
"U/G H/T CABLE UNDER RLY~ ~ ~ Node=N019",10400403
"DRAIN C/P #2.50~ ~ ~ Node=N019",10400406
"DRAIN FROM GOLF CLUB HOUSE C/P #2.50~ ~ ~ Node=N019",10400407
"2 U/G CABLES SEE 178/27/5~ ~ ~ Node=N018",10400410
"24 INCH SEWER PIPE UNDER RLY~ ~ ~ Node=N018",10400411
"U/G L/T CABLE WEST OF STN~ ~ ~ Node=N018",10400413
"U/G CABLE~ ~ ~ Node=N019",10400415
"CARLOGIE ROAD SEWER RENEWAL.~ ~ ~ Node=N018",10400417
"U/G L/T CABLE AT GOLF ST~ ~ ~ Node=N018",10400428
"U/G H/T CABLES~ ~ ~ Node=N018",10400430
"BRAEFOOT/BRUCE DR PERMISSION TO LAY SEWER~ ~ ~ Node=N018",10400431
"CABLE IN ROADWAY THROUGH U/B 218 FERRIER STREET~ ~ ~ Node=N018",10400433
"4 INCH WATER PIPE UNDER LEVEL XING~ ~ ~ Node=N018",10400436
"O/H H/T CABLE~ ~ ~ Node=N021",10400367
"WATER PIPE UNDER RLY C/P #2.50~ ~ ~ Node=E080",10400299
"GAS PIPE~ ~ ~ Node=E080The pipe is attached to the undersid of LM abutment.",10400301
"WATER PIP UNDER XING C/P #2.50~ ~ ~ Node=E080",10400302
"O/H L/T CABLE & 2 STAYS~ ~ ~ Node=E080",10400305
"GAS PIPE~ ~ ~ Node=N023",10400307
"TO LAY SEWER ACROSS RAILWAY LINE~ ~ ~ Node=N023",10400308
"Line Curvature: Restricted sighting~ Node=SW011B",10407710
"Line Curvature: Restricted sighting~ Node=SW011B",10407713
"Line Curvature: Restricted sighting~ Node=SW013",10407715
"Access gate in Carlibar Road // Route to TOWS Unit and Relay Room.~ Node=SW008",10407716
"From A70 ring road north, turn into Ayr station car park. Walk through ~ entrance on to platform 4. Turn left and walk down ramp to entrance to Apparatus Hut, keeping on path.~ Node=SW023A",10407718
"From the A79, turn into Woodfield Road. Cross over Oswald Road into Bellrock Road and over OB43. Turn left, and a cess gate is on the left hand side at the next bend. The Apparatus Hut is via the gate, then 20 yards on the left.~ Node=SW021B",10407722
"From the new road at Tam s Brig, turn into McCalls Avenue, then right into the approach road, through the gate into the vehicle park, thence along the front of the building to entrance.~ Node=SW023A",10407727
"On the A737 from Dalry, after passing under the railway bridge, turn left at road signposted ~Kersland Farm~. Continue on this road for approximately 0.5 miles, turn left through farm gate before bungalow on right at top of hill. Follow dirt to the rail",10407729
"U/G L/V CABLE",10404578
"PRIV TO LAY H/V U/G CABLE",10404580
"U/G L/T CABLE TO LARBERT JCT SIGNAL BOX-45/36/3",10404582
"O/H CABLE 2 POLES & 3 STAYS",10404585
"U/G H/V CABLE",10404587
"U/G L/T CABLE",10404589
"This line is now electrified as part of the Airdrie to Bathgate project",10566353
"OVERHEAD ELECTRICAL CABLE",10566943
"OVERHEAD ELECTRICAL CABLE",10566945
"OVERHEAD ELECTRICAL CABLE",10566947
"OVERHEAD ELECTRICAL CABLE",10566949
"OVERHEAD ELECTRICAL CABLE",10566951
"OVERHEAD ELECTRICAL CABLE",10566953
"OVERHEAD ELECTRICAL CABLE",10566955
"OVERHEAD ELECTRICAL CABLE",10566957
"OVERHEAD ELECTRICAL CABLE",10566959
"OVERHEAD ELECTRICAL CABLE",10566961
"OVERHEAD ELECTRICAL CABLE",10566963
"THE SUITABILITY OF THE EDGE PROTECTION ON THIS STRUCTURE CANNOT BE RELIED UPON TO PREVENT A FALL FROM HEIGHT. UNASSISTED WARNING SSOW WORKING IS PROHIBITED, ATWS/LOWS MAY BE USED ONLY IF THE STRUCTURE IS LESS THAN 30 METRES LONG AND A MINIMUM 25 SECOND WARNING TIME IS BEING USED. ONLY ACTIVITIES THAT CAN BE CARRIED OUT WHILST REMAINING WITHIN THE 4 FOOT ARE ALLOWED TO BE UNDERTAKEN ON THIS STRUCTURE, UNLESS SUITABLE CONTROL MEASURES TO PREVENT FALLS FROM HEIGHT ARE APPROVED AND RECORDED BY AN ENGINEER AND IMPLEMENTED ON SITE.",10567857
