QT,ACW,11,0.0246,0.0772,"ACTON CANAL WHARF TO WILLESDEN",,1,0,FALSE,,
QT,ATG,12,9.1155,9.1686,"TURNHAM GREEN <LTE BOUNDARY> - GUNNERSBURY JN <SR>",,1,0,FALSE,,
QT,AWL,13,0.0858,0.1073,"ACTON EAST - ACTON WELLS JN (ACTON WELLS LINE) (FORMERLY AWB)",,1,0,FALSE,,
QT,BDH,14,0.1188,1.0065,"BRENT CURVE JN - DUDDING HILL JN",,1,0,FALSE,,
QT,BDM,15,0,1,"BOW DEPOT MID. (OPEN SIDING)",,1,0,FALSE,,
QT,BFC,92,0,0.1386,"BACON FACTORY CURVE",,1,0,FALSE,,
QT,BGK,16,1.0308,96.165,"BETHNAL GREEN  - KINGS LYNN",,1,0,FALSE,,
QT,BKR,130,7.1442,10.0716,"BARKING RIVERSIDE RAILWAY",,1,0,FALSE,,
QT,BOK1,17,2.0466,5.0183,"BROAD STREET - CAMDEN ROAD JN",,1,0,FALSE,,
QT,BOK2,18,-0.0043,5.0214,"CAMDEN RD JN - KENSAL GREEN JN",,1,0,FALSE,,
QT,BOK3,19,5.0214,5.1055,"KENSAL GREEN JN - WILLESDEN HIGH LEVEL JN",,1,0,FALSE,,
QT,BOK4,20,0,0.1263,"WILLESDEN HIGH LEVEL JN - ACTON WELLS JN",,1,0,FALSE,,
QT,BOK5,21,0.1457,3.0858,"ACTON WELLS JN <LM> - OLD KEW JN <SR>",,1,0,FALSE,,
QT,BRA,22,17.1562,24.031,"BRAINTREE BRANCH",,1,0,FALSE,,
QT,BTE,23,7.132,8.0242,"BARKING TILBURY EAST TO BARKING EAST JCN",,1,0,FALSE,,
QT,BWT,24,7.011,7.0726,"BARKING WEST JN TO BARKING TILBURY LINE JN WEST",,1,0,FALSE,,
QT,CAW,25,5.1584,8.1705,"CRICKLEWOOD CVE JN - ACTON WELLS JN",,1,0,FALSE,,
QT,CCH,26,0.0462,40.1163,"CAMBRIDGE HAUGHLEY JNC",,1,0,FALSE,,
QT,CDY,27,29.1641,30,"CHELMSFORD LOWER YARD (OPEN SIDING)",,1,0,FALSE,,
QT,CER,28,50.1576,51.108,"COLCHESTER GOODS",,1,0,FALSE,,
QT,CFP,29,3.0254,3.044,"CANONBURY WEST JN - FINSBURY PARK",,1,0,FALSE,,
QT,CHM,30,0,0.033,"CHANNELSEA NORTH HIGH MEADS",,1,0,FALSE,,
QT,CJC,31,4.0808,10.0726,"CLAPTON JNC - CHINGFORD",,1,0,FALSE,,
QT,CNS,32,0.1552,1.0352,"CARPENTERS ROAD NORTH TO CARPENTERS ROAD SOUTH",,1,0,FALSE,,
QT,COC,33,51.1674,69.126,"COLCHESTER - CLACTON",,1,0,FALSE,,
QT,CRC1,34,5.0183,5.0496,"CAMDEN ROAD JN - CAMDEN JN",,1,0,FALSE,,
QT,CRC2,35,5.0496,5.092,"CAMDEN ROAD JN - CAMDEN JN",,1,0,FALSE,,
QT,CRF1,36,0.0475,0.066,"FREIGHT TERMINAL JN - COM (KINGS CROSS INCLINE)",,1,0,FALSE,,
